Modulo,Resultado de aprendizaje,Criterio de evaluación,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,a) Identifica características de sistemas eléctricos y tipos de redes,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,b) Distingue subsistema de generación,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,c) Distingue subsistema de transporte,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,d) Distingue subsistema de distribución,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,e) Identifica componentes del sistema eléctrico,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,f) Relaciona elementos con simbología en planos,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,g) Clasifica redes de distribución según conexión,
Sistemas eléctricos en centrales,RA1 Caracteriza sistemas eléctricos,h) Identifica esquemas BT y AT según puesta a tierra,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,a) Diferencia conductores de enlace e interior,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,b) Enumera conductores en redes aéreas,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,c) Categoriza conductores en redes subterráneas,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,d) Identifica tipos de condensadores,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,e) Clasifica aisladores,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,f) Selecciona aisladores según aislamiento,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,g) Reconoce propiedades de materiales ferromagnéticos,
Sistemas eléctricos en centrales,RA2 Clasifica materiales eléctricos,h) Diferencia elementos electromagnéticos,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,a) Reconoce valores de corriente alterna,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,b) Calcula tensión,intensidad y potencia monofásica
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,c) Reconoce ventajas de sistemas trifásicos,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,d) Identifica sistemas a tres y cuatro hilos,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,e) Diferencia sistemas equilibrados/desequilibrados,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,f) Calcula magnitudes en sistemas trifásicos equilibrados,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,g) Mejora factor de potencia,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,h) Calcula secciones de líneas,
Sistemas eléctricos en centrales,RA3 Calcula circuitos eléctricos,i) Selecciona protecciones eléctricas,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,a) Reconoce tipos de subestaciones,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,b) Distingue función en sistema eléctrico,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,c) Distingue configuraciones,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,d) Identifica componentes,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,e) Interpreta reglamentos técnicos,
Subestaciones eléctricas,RA1 Caracteriza subestaciones,f) Reconoce normativa aplicable,
Subestaciones eléctricas,RA2 Interpreta proyectos,a) Interpreta documentos del proyecto,
Subestaciones eléctricas,RA2 Interpreta proyectos,b) Reconoce elementos en planos,
Subestaciones eléctricas,RA2 Interpreta proyectos,c) Identifica fases de montaje,
Subestaciones eléctricas,RA2 Interpreta proyectos,d) Dibuja esquemas y cronogramas,
Subestaciones eléctricas,RA2 Interpreta proyectos,e) Elabora planos en CAD,
Subestaciones eléctricas,RA2 Interpreta proyectos,f) Clasifica documentación técnica,
Subestaciones eléctricas,RA2 Interpreta proyectos,g) Caracteriza elementos de subestación,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,a) Clasifica sensores eléctricos,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,b) Reconoce funcionamiento de sensores,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,c) Identifica señales de transductores,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,d) Realiza conexión de sensores,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,e) Enumera circuitos de acondicionamiento,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,f) Reconoce instrumentos de medida,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,g) Determina valores eléctricos,
Telecontrol y automatismos,RA1 Caracteriza instrumentación,h) Obtiene variables de red,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,a) Identifica factores del efecto eléctrico,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,b) Distingue umbrales eléctricos,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,c) Reconoce consecuencias de fibrilación,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,d) Explica asfixia eléctrica,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,e) Describe tetanización,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,f) Reconoce quemaduras eléctricas,
Prevención de riesgos eléctricos,RA1 Caracteriza efectos eléctricos,g) Identifica efectos indirectos,
Sistemas de energías renovables,RA1 Distingue energías renovables,a) Define energía renovable,
Sistemas de energías renovables,RA1 Distingue energías renovables,b) Define valorización energética,
Sistemas de energías renovables,RA1 Distingue energías renovables,c) Enumera recursos energéticos,
Sistemas de energías renovables,RA1 Distingue energías renovables,d) Valora reservas y consumos,
Sistemas de energías renovables,RA1 Distingue energías renovables,e) Evalúa situación energética,
Sistemas de energías renovables,RA1 Distingue energías renovables,f) Identifica energías renovables,
Sistemas de energías renovables,RA1 Distingue energías renovables,g) Reconoce procesos energéticos,
Sistemas de energías renovables,RA1 Distingue energías renovables,h) Identifica impactos ambientales,
Configuración instalaciones FV,RA1 Calcula potencial solar,a) Define necesidades energéticas,
Configuración instalaciones FV,RA1 Calcula potencial solar,b) Cuantifica energía,
Configuración instalaciones FV,RA1 Calcula potencial solar,c) Valora energías convencionales,
Configuración instalaciones FV,RA1 Calcula potencial solar,d) Mide radiación solar,
Configuración instalaciones FV,RA1 Calcula potencial solar,e) Determina parámetros solares,
Configuración instalaciones FV,RA1 Calcula potencial solar,f) Evalúa viabilidad instalación,
Configuración instalaciones FV,RA1 Calcula potencial solar,g) Define criterios de configuración,
Gestión montaje FV,RA1 Discrimina instalaciones,a) Selecciona documentación,
Gestión montaje FV,RA1 Discrimina instalaciones,b) Reconoce tipos de instalación,
Gestión montaje FV,RA1 Discrimina instalaciones,c) Caracteriza instalación autónoma,
Gestión montaje FV,RA1 Discrimina instalaciones,d) Reconoce instalación con apoyo,
Gestión montaje FV,RA1 Discrimina instalaciones,e) Diferencia conexión a red,
Gestión montaje FV,RA1 Discrimina instalaciones,f) Identifica seguimiento solar,
Gestión montaje FV,RA1 Discrimina instalaciones,g) Reconoce telecontrol,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,a) Identifica sistemas eólicos,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,b) Clasifica instalaciones,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,c) Describe funcionamiento,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,d) Reconoce elementos,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,e) Especifica torres y góndolas,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,f) Reconoce palas y rotor,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,g) Clasifica generadores,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,h) Reconoce transformadores,
Gestión montaje parques eólicos,RA1 Caracteriza instalaciones,i) Interpreta esquemas,
