Familia,Ciclos,Módulos,Resultados de Aprendizaje,Criterios de Evaluación,Estado
Agraria,19,223,1212,9463,Completa
Transporte y Mantenimiento de Vehículos,19,248,1537,11603,Completa
Comercio y Marketing,16,188,1072,7710,Completa
Informática y Comunicaciones,13,143,881,6708,Completa
Administración y Gestión,11,108,634,4980,Completa
Fabricación Mecánica,11,108,550,4128,Completa
Imagen y Sonido,8,96,515,3564,Completa
Madera Mueble y Corcho,4,49,276,2149,Completa
Electricidad y Electrónica,1,14,80,643,Completa
Marítimo-Pesquera,1,14,77,637,Completa
Actividades Físicas y Deportivas,0,0,0,0,Solo nombre
Aeronáutica,0,0,0,0,Solo nombre
Artes Gráficas,0,0,0,0,Solo nombre
Artes y Artesanías,0,0,0,0,Solo nombre
Biotecnología,0,0,0,0,Solo nombre
Edificación y Obra Civil,0,0,0,0,Solo nombre
Energía y Agua,0,0,0,0,Solo nombre
Hostelería y Turismo,0,0,0,0,Solo nombre
Imagen Personal,0,0,0,0,Solo nombre
Industrias Alimentarias,0,0,0,0,Solo nombre
Industrias Extractivas,0,0,0,0,Solo nombre
Instalación y Mantenimiento,0,0,0,0,Solo nombre
Logística y Almacén,0,0,0,0,Solo nombre
Química,0,0,0,0,Solo nombre
Sanidad,0,0,0,0,Solo nombre
Seguridad y Medio Ambiente,0,0,0,0,Solo nombre
Servicios Socioculturales y a la Comunidad,0,0,0,0,Solo nombre
Telecomunicaciones,0,0,0,0,Solo nombre
Textil Confección y Piel,0,0,0,0,Solo nombre
Vidrio y Cerámica,0,0,0,0,Solo nombre
TOTAL (30 familias),105,1207,6856,51753,10 Completas / 20 Solo nombre
